Number,Type
1,Grass
2,Grass
3-mega,Grass
3,Grass
4,Fire
5,Fire
6-mega-x,Fire
6-mega-y,Fire
6,Fire
7,Water
8,Water
9-mega,Water
9,Water
10,Bug
11,Bug
12,Bug
13,Bug
14,Bug
15-mega,Bug
15,Bug
16,Normal
17,Normal
18-mega,Normal
18,Normal
19,Normal
20,Normal
21,Normal
22,Normal
23,Poison
24,Poison
25-belle,Electric
25-libre,Electric
25-phd,Electric
25-pop-star,Electric
25-rock-star,Electric
25,Electric
26,Electric
27,Ground
28,Ground
29,Poison
30,Poison
31,Poison
32,Poison
33,Poison
34,Poison
35,Fairy
36,Fairy
37,Fire
38,Fire
39,Normal
40,Normal
41,Poison
42,Poison
43,Grass
44,Grass
45,Grass
46,Bug
47,Bug
48,Bug
49,Bug
50,Ground
51,Ground
52,Normal
53,Normal
54,Water
55,Water
56,Fighting
57,Fighting
58,Fire
59,Fire
60,Water
61,Water
62,Water
63,Psychic
64,Psychic
65-mega,Psychic
65,Psychic
66,Fighting
67,Fighting
68,Fighting
69,Grass
70,Grass
71,Grass
72,Water
73,Water
74,Rock
75,Rock
76,Rock
77,Fire
78,Fire
79,Water
80-mega,Water
80,Water
81,Electric
82,Electric
83,Normal
84,Normal
85,Normal
86,Water
87,Water
88,Poison
89,Poison
90,Water
91,Water
92,Ghost
93,Ghost
94-mega,Ghost
94,Ghost
95,Rock
96,Psychic
97,Psychic
98,Water
99,Water
100,Electric
101,Electric
102,Grass
103,Grass
104,Ground
105,Ground
106,Fighting
107,Fighting
108,Normal
109,Poison
110,Poison
111,Ground
112,Ground
113,Normal
114,Grass
115-mega,Normal
115,Normal
116,Water
117,Water
118,Water
119,Water
120,Water
121,Water
122,Psychic
123,Bug
124,Ice
125,Electric
126,Fire
127-mega,Bug
127,Bug
128,Normal
129,Water
130-mega,Water
130,Water
131,Water
132,Normal
133,Normal
134,Water
135,Electric
136,Fire
137,Normal
138,Rock
139,Rock
140,Rock
141,Rock
142-mega,Rock
142,Rock
143,Normal
144,Ice
145,Electric
146,Fire
147,Dragon
148,Dragon
149,Dragon
150-mega-x,Psychic
150-mega-y,Psychic
150,Psychic
151,Psychic
152,Grass
153,Grass
154,Grass
155,Fire
156,Fire
157,Fire
158,Water
159,Water
160,Water
161,Normal
162,Normal
163,Normal
164,Normal
165,Bug
166,Bug
167,Bug
168,Bug
169,Poison
170,Water
171,Water
172,Electric
173,Fairy
174,Normal
175,Fairy
176,Fairy
177,Psychic
178,Psychic
179,Electric
180,Electric
181-mega,Electric
181,Electric
182,Grass
183,Water
184,Water
185,Rock
186,Water
187,Grass
188,Grass
189,Grass
190,Normal
191,Grass
192,Grass
193,Bug
194,Water
195,Water
196,Psychic
197,Dark
198,Dark
199,Water
200,Ghost
201-f,Psychic
202,Psychic
203,Normal
204,Bug
205,Bug
206,Normal
207,Ground
208-mega,Steel
208,Steel
209,Fairy
210,Fairy
211,Water
212-mega,Bug
212,Bug
213,Bug
214-mega,Bug
214,Bug
215,Dark
216,Normal
217,Normal
218,Fire
219,Fire
220,Ice
221,Ice
222,Water
223,Water
224,Water
225,Ice
226,Water
227,Steel
228,Dark
229-mega,Dark
229,Dark
230,Water
231,Ground
232,Ground
233,Normal
234,Normal
235,Normal
236,Fighting
237,Fighting
238,Ice
239,Electric
240,Fire
241,Normal
242,Normal
243,Electric
244,Fire
245,Water
246,Rock
247,Rock
248-mega,Rock
248,Rock
249,Psychic
250,Fire
251,Psychic
252,Grass
253,Grass
254-mega,Grass
254,Grass
255,Fire
256,Fire
257-mega,Fire
257,Fire
258,Water
259,Water
260-mega,Water
260,Water
261,Dark
262,Dark
263,Normal
264,Normal
265,Bug
266,Bug
267,Bug
268,Bug
269,Bug
270,Water
271,Water
272,Water
273,Grass
274,Grass
275,Grass
276,Normal
277,Normal
278,Water
279,Water
280,Psychic
281,Psychic
282-mega,Psychic
282,Psychic
283,Bug
284,Bug
285,Grass
286,Grass
287,Normal
288,Normal
289,Normal
290,Bug
291,Bug
292,Bug
293,Normal
294,Normal
295,Normal
296,Fighting
297,Fighting
298,Normal
299,Rock
300,Normal
301,Normal
302-mega,Dark
302,Dark
303-mega,Steel
303,Steel
304,Steel
305,Steel
306-mega,Steel
306,Steel
307,Fighting
308-mega,Fighting
308,Fighting
309,Electric
310-mega,Electric
310,Electric
311,Electric
312,Electric
313,Bug
314,Bug
315,Grass
316,Poison
317,Poison
318,Water
319-mega,Water
319,Water
320,Water
321,Water
322,Fire
323-mega,Fire
323,Fire
324,Fire
325,Psychic
326,Psychic
327,Normal
328,Ground
329,Ground
330,Ground
331,Grass
332,Grass
333,Normal
334-mega,Dragon
334,Dragon
335,Normal
336,Poison
337,Rock
338,Rock
339,Water
340,Water
341,Water
342,Water
343,Ground
344,Ground
345,Rock
346,Rock
347,Rock
348,Rock
349,Water
350,Water
351,Normal
352,Normal
353,Ghost
354-mega,Ghost
354,Ghost
355,Ghost
356,Ghost
357,Grass
358,Psychic
359-mega,Dark
359,Dark
360,Psychic
361,Ice
362-mega,Ice
362,Ice
363,Ice
364,Ice
365,Ice
366,Water
367,Water
368,Water
369,Water
370,Water
371,Dragon
372,Dragon
373-mega,Dragon
373,Dragon
374,Steel
375,Steel
376-mega,Steel
376,Steel
377,Rock
378,Ice
379,Steel
380-mega,Dragon
380,Dragon
381-mega,Dragon
381,Dragon
382-primal,Water
382,Water
383-primal,Ground
383,Ground
384-mega,Dragon
384,Dragon
385,Steel
386-attack,Steel
386-defense,Steel
386-normal,Steel
386-speed,Steel
387,Grass
388,Grass
389,Grass
390,Fire
391,Fire
392,Fire
393,Water
394,Water
395,Water
396,Normal
397,Normal
398,Normal
399,Normal
400,Normal
401,Bug
402,Bug
403,Electric
404,Electric
405,Electric
406,Grass
407,Grass
408,Rock
409,Rock
410,Rock
411,Rock
412-plant,Bug
412-sandy,Bug
412-trash,Bug
413-plant,Bug
413-sandy,Bug
413-trash,Bug
414,Bug
415,Bug
416,Bug
417,Electric
418,Water
419,Water
420,Grass
421-overcast,Grass
421-sunshine,Grass
422-east,Water
422-west,Water
423-east,Water
423-west,Water
424,Normal
425,Ghost
426,Ghost
427,Normal
428-mega,Normal
428,Normal
429,Ghost
430,Dark
431,Normal
432,Normal
433,Psychic
434,Poison
435,Poison
436,Steel
437,Steel
438,Rock
439,Psychic
440,Normal
441,Normal
442,Ghost
443,Dragon
444,Dragon
445-mega,Dragon
445,Dragon
446,Normal
447,Fighting
448-mega,Fighting
448,Fighting
449,Ground
450,Ground
451,Poison
452,Poison
453,Poison
454,Poison
455,Grass
456,Water
457,Water
458,Water
459,Grass
460-mega,Grass
460,Grass
461,Dark
462,Electric
463,Normal
464,Ground
465,Grass
466,Electric
467,Fire
468,Fairy
469,Bug
470,Grass
471,Ice
472,Ground
473,Ice
474,Normal
475-mega,Psychic
475,Psychic
476,Rock
477,Ghost
478,Ice
479-fan,Electric
479-frost,Electric
479-heat,Electric
479-mow,Electric
479-wash,Electric
479,Electric
480,Psychic
481,Psychic
482,Psychic
483,Steel
484,Water
485,Fire
486,Normal
487-altered,Ghost
487-origin,Ghost
488,Psychic
489,Water
490,Water
491,Dark
492-land,Grass
492-sky,Grass
493-normal,Normal
494,Psychic
495,Grass
496,Grass
497,Grass
498,Fire
499,Fire
500,Fire
501,Water
502,Water
503,Water
504,Normal
505,Normal
506,Normal
507,Normal
508,Normal
509,Dark
510,Dark
511,Grass
512,Grass
513,Fire
514,Fire
515,Water
516,Water
517,Psychic
518,Psychic
519,Normal
520,Normal
521,Normal
521f,Normal
522,Electric
523,Electric
524,Rock
525,Rock
526,Rock
527,Psychic
528,Psychic
529,Ground
530,Ground
531-mega,Normal
531,Normal
532,Fighting
533,Fighting
534,Fighting
535,Water
536,Water
537,Water
538,Fighting
539,Fighting
540,Bug
541,Bug
542,Bug
543,Bug
544,Bug
545,Bug
546,Grass
547,Grass
548,Grass
549,Grass
550-blue-striped,Water
550-red-striped,Water
551,Ground
552,Ground
553,Ground
554,Fire
555-standard,Fire
556,Grass
557,Bug
558,Bug
559,Dark
560,Dark
561,Psychic
562,Ghost
563,Ghost
564,Water
565,Water
566,Rock
567,Rock
568,Poison
569,Poison
570,Dark
571,Dark
572,Normal
573,Normal
574,Psychic
575,Psychic
576,Psychic
577,Psychic
578,Psychic
579,Psychic
580,Water
581,Water
582,Ice
583,Ice
584,Ice
585-autumn,Normal
585-spring,Normal
585-summer,Normal
585-winter,Normal
586-autumn,Normal
586-spring,Normal
586-summer,Normal
586-winter,Normal
587,Electric
588,Bug
589,Bug
590,Grass
591,Grass
592,Water
592f,Water
593,Water
593f,Water
594,Water
595,Bug
596,Bug
597,Grass
598,Grass
599,Steel
600,Steel
601,Steel
602,Electric
603,Electric
604,Electric
605,Psychic
606,Psychic
607,Ghost
608,Ghost
609,Ghost
610,Dragon
611,Dragon
612,Dragon
613,Ice
614,Ice
615,Ice
616,Bug
617,Bug
618,Ground
619,Fighting
620,Fighting
621,Dragon
622,Ground
623,Ground
624,Dark
625,Dark
626,Normal
627,Normal
628,Normal
629,Dark
630,Dark
631,Fire
632,Bug
633,Dark
634,Dark
635,Dark
636,Bug
637,Bug
638,Steel
639,Rock
640,Grass
641-incarnate,Flying
641-therian,Flying
642-incarnate,Electric
642-therian,Electric
643,Dragon
644,Dragon
645-incarnate,Ground
645-therian,Ground
646-black,Dragon
646-white,Dragon
646,Dragon
647-ordinary,Water
647-resolute,Water
648-pirouette,Normal
648,Normal
649,Bug
650,Grass
651,Grass
652,Grass
653,Fire
654,Fire
655,Fire
656,Water
657,Water
658,Water
659,Normal
660,Normal
661,Normal
662,Fire
663,Fire
664,Bug
665,Bug
666-elegant,Bug
666,Bug
667,Fire
668,Fire
668f,Fire
669,Fairy
670,Fairy
671,Fairy
672,Grass
673,Grass
674,Fighting
675,Fighting
676-diamond,Normal
676-heart,Normal
676-star,Normal
676,Normal
677,Psychic
678,Psychic
678f,Psychic
679,Steel
680,Steel
681-blade,Steel
681-shield,Steel
681,Steel
682,Fairy
683,Fairy
684,Fairy
685,Fairy
686,Dark
687,Dark
688,Rock
689,Rock
690,Poison
691,Poison
692,Water
693,Water
694,Electric
695,Electric
696,Rock
697,Rock
698,Rock
699,Rock
700,Fairy
701,Fighting
702,Electric
703,Rock
704,Dragon
705,Dragon
706,Dragon
707,Steel
708,Ghost
709,Ghost
710,Ghost
711,Ghost
712,Ice
713,Ice
714,Flying
715,Flying
716,Fairy
717,Dark
718,Dragon
719-mega,Rock
719,Rock
720-unbound,Psychic
720,Psychic
721,Fire
